"Client","Project","Service Request","Sample","Lab Code","Sample Type","Date Collected","Date Received","Date Extracted","Date Analyzed","Extraction Method","Method","Matrix","Basis","Units","Component","Dilution Factor","Reporting Limit","Detection Limit","Result","Result Notes","Spike Concentration","Percent Recovery","Acceptance Limits","Average","RPD","Retention Time","Regulatory Limit"
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 18-POACHER'S COVE","K2405043-008","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Zinc, Total","1","2.0","0.5","1.5","=,J","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 19-SLIKOK CREEK","K2405043-009","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Calcium, Total","1","20","6","7580","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 19-SLIKOK CREEK","K2405043-009","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Copper, Total","1","0.10","0.05","0.30","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 19-SLIKOK CREEK","K2405043-009","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Iron, Total","1","2.0","0.3","983","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 19-SLIKOK CREEK","K2405043-009","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Magnesium, Total","1","10","2","2330","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 19-SLIKOK CREEK","K2405043-009","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Zinc, Total","1","2.0","0.5","0.9","=,J","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 19-SLIKOK CREEK-DUP","K2405043-010","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Calcium, Total","1","20","6","7750","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 19-SLIKOK CREEK-DUP","K2405043-010","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Copper, Total","1","0.10","0.05","0.39","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 19-SLIKOK CREEK-DUP","K2405043-010","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Iron, Total","1","2.0","0.3","981","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 19-SLIKOK CREEK-DUP","K2405043-010","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Magnesium, Total","1","10","2","2330","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 19-SLIKOK CREEK-DUP","K2405043-010","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Zinc, Total","1","2.0","0.5","3.1","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 21-SOLDOTNA BRIDGE","K2405043-011","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Calcium, Total","1","20","6","11000","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 21-SOLDOTNA BRIDGE","K2405043-011","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Copper, Total","1","0.10","0.05","0.78","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 21-SOLDOTNA BRIDGE","K2405043-011","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Iron, Total","1","2.0","0.3","463","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 21-SOLDOTNA BRIDGE","K2405043-011","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Magnesium, Total","1","10","2","1430","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 21-SOLDOTNA BRIDGE","K2405043-011","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Zinc, Total","1","2.0","0.5","1.0","=,J","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 22-SOLDONTA CREEK","K2405043-012","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Calcium, Total","1","20","6","13700","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 22-SOLDONTA CREEK","K2405043-012","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Copper, Total","1","0.10","0.05","0.28","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 22-SOLDONTA CREEK","K2405043-012","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Iron, Total","1","2.0","0.3","1090","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 22-SOLDONTA CREEK","K2405043-012","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Magnesium, Total","1","10","2","4270","=","","","","","","",""
